title,year,citations_scholar,venue,link,source
QuantumCLEF-quantum computing at CLEF,2024,14.0,"European Conference on Information Retrieval, 482-489, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:4E1Y8I9HL1wC,Scholar
Quantum computing for information retrieval and recommender systems,2024,12.0,"European Conference on Information Retrieval, 358-362, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:ehoypfNsBj8C,Scholar
The CLEF 2024 monster track: One lab to rule them all,2024,4.0,"European Conference on Information Retrieval, 11-18, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Ul_CLA4dPeMC,Scholar
Working Notes of CLEF 2024-Conference and Labs of the Evaluation Forum,2024,54.0,"CEUR Workshop Proceedings, CEUR-WS. org, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:aCwMkEyfDy8C,Scholar
Beyond the parameters: Measuring actual privacy in obfuscated texts,2024,1.0,"Proceedings of the 14th Italian Information Retrieval Workshop, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:UarirCmVI0EC,Scholar
RecSys 2024 Chairs’ Welcome,2024,,"RecSys 2024-Proceedings of the 18th ACM Conference on Recommender Systems, iv-vi, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:IExZWSxeYXUC,Scholar
Improving rag systems via sentence clustering and reordering,2024,8.0,"CEUR WORKSHOP PROCEEDINGS 3784, 34-43, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:37Fl7vPTsUIC,Scholar
"Experimental IR meets Multilinguality, multimodality, and interaction",2024,12.0,"Proceedings of the Fifteenth International Conference of the CLEF …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:1_W9tMSvGuwC,Scholar
"Experimental IR Meets Multilinguality, Multimodality, and Interaction: 15th International Conference of the CLEF Association, CLEF 2024, Grenoble, France, September 9–12, 2024 …",2024,,"Springer Nature, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:hB2aVRuWZNwC,Scholar
The CAMEO Project: A Holistic View for Conversational Agents,2024,1.0,"Proc. of the 14th Italian Information Retrieval Workshop 3802, 107-110, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:oH8HCDhqVGsC,Scholar
